id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league
1275,Robin Quaison,28,1485,6,5.376143180765212,2,1.9227145127952097,35,8,1,0,F M S,Mainz 05,6,5.376143180765212,11.141115371137856,4.859501421451569,Bundesliga
3300,Christopher Nkunku,28,1890,6,7.504063732922077,6,7.618339039385319,55,71,2,0,F M S,RasenBallsport Leipzig,6,7.504063732922077,17.10576257109642,7.340990073978901,Bundesliga
3310,Alassane Pléa,29,1804,6,5.505177699029446,1,3.8594888541847463,62,28,2,0,F M S,Borussia M.Gladbach,6,5.505177699029446,11.608919942751529,3.9902673829346895,Bundesliga
4247,Maximilian Philipp,24,1129,6,3.5855435971170664,2,0.8755118940025568,30,14,3,0,M S,Wolfsburg,6,3.5855435971170664,5.242055084556341,1.383285365998745,Bundesliga
5222,Joel Pohjanpalo,20,868,6,6.772308342158794,0,0.9927613828331232,31,8,0,0,F S,"Bayer Leverkusen,Union Berlin",6,6.772308342158794,6.066355209797621,1.0101482905447483,Bundesliga
6098,Niclas Füllkrug,19,875,6,5.049045581370592,0,0.2071330472826957,35,5,1,0,F M S,Werder Bremen,4,3.533572617918253,3.1787087619304657,1.0755865890532732,Bundesliga
6708,Bote Baku,34,2877,6,3.7242834474891424,6,4.480606526136398,35,43,1,0,D M S,"Mainz 05,Wolfsburg",6,3.7242834474891424,15.0811924058944,8.065020985901356,Bundesliga
7065,Florian Neuhaus,33,2636,6,3.026027103420347,5,2.886748790740967,48,23,9,0,M S,Borussia M.Gladbach,6,3.026027103420347,13.019777096807957,9.189498022198675,Bundesliga
7074,Nicolás González,15,927,6,7.307775063440204,2,1.9631138555705547,50,12,5,0,F M S,VfB Stuttgart,3,4.276910303160548,6.833211192861199,1.5357228638604283,Bundesliga
7422,Christoph Baumgartner,31,2393,6,5.60529175773263,3,3.540219946764409,61,34,6,0,F M S,Hoffenheim,6,5.60529175773263,14.063407618552446,8.456081174314022,Bundesliga
